text,policy
"fine gael will put in place support structures such as continued farm training, education and language programmes which will be offered by teagasc to all farm workers to attract and retain workers in the sector.",4
"new zealand first will:ensure an accused can be re-tried for a crime where it is proved that an acquittal, or a change to a lesser offence, has resulted from intimidation perjury or the bribery of a victim, witness or juror.",6
nor should our participation in them prevent our joining with other democracies to protect our vital national interests.,1
− saving up to 450 trials and 9000 court hours each year.,3
chief executives will be required to report six monthly on how they are progressing positive outcomes for whānau.,6
we can embrace the next wave of technologies to help reduce our reliance on coal and gas fired power.,4
"-we are committed to an “independent living contract” for older people that will guarantee over 65s can stay in their own home if possible or accommodate them in a safe, secure and suitable home to spend the later stages of their life in their communities.",7
and improve market positioning.,4
introduced voluntary bonding student loan write-offs for young gps working in hard-to staff areas.,5
"leading learning: we will introduce a numeracy and literacy programme for school leaders to inspire new methodologies across schools in these areas,",5
"residential development will be particularly encouraged in dublin along public transport lines, either in existing brownﬁeld sites such as dublin’s docklands, or new greenﬁeld developments such as cherrywood and adamstown.",4
"we will: give asylum seekers the right to work three months after they have applied, enabling them to work in any role so that they can support themselves, integrate into their communities and contribute through taxation.",2
"a smaller staff in government departments: as routine tasks are rationalised and automated and control over service delivery is devolved to the front-line, we will reduce the number of civil servants working in central policy-making departments by a third (from about 17,000 at present).",3
"we have negotiated as part of the cfp a regional decisionmaking model, which means less control from brussels and more decision making regionally, with other countries who share our fishing grounds.",1
"• ensure, where there is evidence of domestic assault, that the assailant is charged under the same criteria applying to an equivalent assault on the street.",6
has led to huge increases in homelessness.,5
"quality and universal healthcare,",5
access to productive land will open up enormous new opportunities to south africa’s poor.,5
"and against alternative forms of warfare being waged upon it legally, economically, culturally, and otherwise.",1
"we will abolish the local property tax, saving 1.8 million homeowners an average of €244 per year.",5
and find a political resolution for this horrific war.,1
and benefit ru-ral areas.,4
replies will be published once a week in a supplement to the official report and on the oireachtas website.,3
"add costs to households and put the brakes on the economy through their, and the green party’s, ets policies.",4
the prerequisite of any solution will be a guarantee that no one needing care has to sell their home to pay for it.,5
"this reserve will act as a buffer against unexpected shocks, both domestic and international, and will be allocated according to a set of conditions to be set out by government in budget 2017, with the advice of the irish fiscal advisory council.",4
we will also ensure that there is a range of education provision so that parents can continue to have choice about what type of school they send their children too.,2
raise the alcohol purchase age to 20 years.,6
"we need to improve our ability to gather, analyze, and share information so we can track down terrorists and stop them before they cause harm.",6
the scale of the shadow economy ranges from an estimated €5-20bn costing the state enormous sums of money and inflicting immense damage on compliant companies.,4
this means investing in those currently at work,4
a referendum on senate abolition will be held to put the final decision in the hands of all canadians.,2
"and modern infrastructure,",4
"it needs enough homes, affordable for local families, to ensure those services are viable.",4
the election of the ceann comhairle by secret ballot.,2
"the intake of students for post-school education will be massively expanded over the next five years, with the aim of enrolling the majority of youth aged 18-23, especially in fet colleges.",5
acute hospital beds: fastest expansion ever,5
"local people know best about the complex problems they face, and they are best placed to work out how to solve them.",3
"all town councillors, including the mayor, would be unpaid and have access to only limited and basic expenses.",3
"1. the provision of modern, spacious, fully-equipped schools with multiple science labs, computer labs and classrooms with wifi access and all educational materials provided free of charge;",5
1.1 million visitors arrived in the year ending april 1993.,4
the 9/11 commission rightly praised the patriot act's role in improving information sharing.,6
our veterans should never be forced to fight in the courts to secure their long-term benefits or to ensure that veterans affairs disability pension promises are honoured.,5
"plaid cymru mps will also seek to ensure that any future trade deals secure geographical indications for key welsh food such as welsh lamb and beef, halen mȏn/anglesey sea salt, pembrokeshire early new potatoes, conwy mussels, carmarthen ham and welsh wine.",6
we will re-instate the funding that was cut from public health budgets by the conservatives and join up services across public health and the nhs.,5
the snp are committed to free personal care for all elderly people who need it.,5
only labor has been clear and consistent: we would make it a condition of the contract that the successful tenderer build australia’s future submarines in australia.,1
"$220m since 2008, meaning more funding for more life-saving drugs",5
and advance vaccination programmes for the new zealand strain of meningococcal disease.,5
complete the roll-out of broadband throughout the country with the national broadband scheme (nbs).,4
• remove the ‘requirement to conclude’ collective bargaining.,4
the nationals will insist on socio-economic impact statements before any more water is bought within the basin,7
no one should face discrimination based on disability status.,5
and economic growth.,4
"and the gardaí, the courts and the prisons use different and incompatible counting systems.",6
"this will attract new entrants, increasing competition and choice for customers.",4
freedom of contract is a fundamental liberty.,2
this is one of the biggest pitfalls to the renewable energy independent power producer procurement programme (reipppp) – new projects have been unable to connect to the grid in certain places.,4
"where you are from, what your parents did, your ethnicity, health, sexuality and gender still too often affect your chances in life, your educational attainments, your work prospects, how you are treated by the police and the justice system, and even how long you will live.",5
"we recognize that there are vulnerable communities within our immigration system who are often seeking refuge from persecution abroad, such as lgbt families, for whom detention can be unacceptably dangerous.",5
"that is why we support investment in energy efficiency and the development of renewable energy//,",4
our vision places citizen engagement at the heart of our energy future and its implementation.,5
"the da will also crack down on overloading, and impound offenders’ vehicles for prolonged periods in serious cases.",6
"at best, kyoto would delay the doubling point by ten years.",1
"commonwealth,",1
"we are committed to requiring honesty in corporate accounting effective corporate governance, a fair shake for small investors and worker pension funds, a level playing field and competitive bidding practices for those who wish to transact business with the government, and vigorous prosecution of criminal conduct in executive suites.",4
"food innovation network: set up a food innovation network, including regional hubs in manukau, waikato, palmerston north, and canterbury.",7
this is an important goal because the prospect that al-qaeda or another terrorist organization might acquire a nuclear device represents an immediate and extreme threat to global security.,1
developing technologies which contribute to decarbonising our economy.,5
 support pay parity between nursing staff across all nursing sectors.,7
• work in partnership with maori authorities to encourage maori economic development.,7
education is much more than schooling.,5
"in fact, many of the actions that reduce climate pollution also have other positive impacts and create jobs.",5
alongside increasing our commitment to renewables.,4
"– utilising solutions such a domestic solar batteries,",4
"productivity will go up when people running businesses have more time for innovation, customer sales and actually running their businesses because they will spend less time and money on unnecessary paper work with no real benefit.",3
democrats are proud of our support for arts funding and education.,5
democrats will continue to fight for those families who suffered the loss of their homes.,4
whilst providing the help prisoners require to come off drugs and deal with mental health problems.,6
– a liberal government will invest $3.5 billion over this fiscal year and the next five to implement partnership agreements focusing on six priority areas – apprenticeship; literacy and essential skills; workplace skills development; enhanced workforce participation of aboriginal people; labour market integration of immigrants; and enhanced workforce participation of persons with disabilities and other under-represented groups.,4
• ensure that asylum seekers will not gain priority entry to new zealand.,6
introduced the exclusive economic zone and continental shelf (environmental effects) bill.,5
these will include the new metro north and the completion of luas cross city.,4
"we have built our infrastructure, our society, and our farming practices around a certain set of climatic conditions.",5
"we are the only party with a credible plan to deliver the extra £8 billion nhs leaders know our health service in england needs by 2020,",5
and providing more accessible tax breaks for homeownership.,5
these overpasses are an example of that.,4
as well as directly and indirectly to the national economy.,4
our smart farming for clean rivers policy is the final component of our election pledge to make all new zealand rivers clean enough to swim in.,5
we will support community groups to strengthen local communities and enhance the social fabric.,6
"30,000 new education and training places for people who are unemployed",4
"defend the historic, modest share of the racing industry, to lawful gambling proceeds, against unreasonable attacks.",7
behind fianna fáil’s rhetoric of the ‘smart economy’ is the reality of ireland’s poor performance in almost every international league table.,4
continue to support the excellent work of civil defence through the ongoing provision of new equipment and encourage increased membership of civil defence through regular and targeted recruitment programmes.,1
"we agree with president bush that the united states must use this moment of opportunity to extend the benefits of freedom across the globe - by actively working to bring the hope of democracy, development, free markets, and free trade to every corner of the world.",4
"give incentives to public and private companies that provide internships to the people with disabilities & the youth so that they could gain job experience, which most employers ask for",5
"stephen harper's failure to invest has led to worsening traffic congestion, making it harder for families to spend time together",3
whc has provided work and training for over 70 people.,4
"re-organise the department of the environment and local government to create a new department of housing, planning and local government.",4
our newera policy has outlined a plan to rollout next generation broadband to homes and business across ireland.,4
and respect for the traditional ownership of aboriginal and torres strait islander peoples.,3
"in northern ireland given our unique circumstances; the legacy of the conflict, the shortage and segregated nature of our social housing, higher disability rates and larger family sizes, means the impact of welfare reform is particularly hard hitting.",5
more efficient patient-centred healthcare costs less because people are empowered to make choices that benefit them in the long term.,5
 would condemn rural communities to remain on dial-up and other slow internet connections.,3
"the affordable care act is opening access to health insurance to americans with disabilities who were previously excluded because of pre-existing conditions,",5
"we support the native american samoans~ efforts to protect their right to self-government and to preserve their culture and land-tenure system, which fosters self-reliance and strong extended-family values.",7
and will invest in technical skills and work incentives so british workers take up as many jobs as possible.,6
tourism,5
protect high streets and consumers by granting new powers to local authorities to reduce the proliferation of betting shops and substantially reducing the maximum stakes for fixed odds betting terminals.,4
we call on state legislatures to moot the impact of the kelo decision in their states by appropriate legislation or constitutional amendments.,3
"a republican president and republican senate will join house republicans in living by the rule of law, the foundation of the american republic.",2
"we feel that one of the best ways to break down barriers and advances opportunities for women is through a poverty-eradication, a national affordable child care program, programs to eliminate the financial barriers to post-secondary education, programs for affordable housing and the adoption of a genuine progress indicator that includes measures of unpaid and voluntary work by women (see other sections in this document).",5
"” we reject that view of our brave men and women in serving in the army, marine corps, navy, air force, and coast guard.",1
"these include: the new growth path, which shifts the trajectory of economic development,",4
"efforts will be made towards delimiting every portion of land as public, private or communal.",3
providing access to a variety of leisure pursuits.,5
we respect the design of the framers of the constitution that our nation's capital has a unique status and should remain independent of any individual state.,0
all forest stewardship council (sfc) certified companies to get a 5-year tax break.,5
"today, all of our children can grow up together, no longer separated by apartheid`s walls.",5
"indeed, the ifp believes the biggest indictment of democracy in south africa is that poverty has worsened, and is in fact more prevalent today than at any time in our recent past.",4
" establish regional employment initiatives that arrive at local solutions to the specific causes of unemployment in communities, with a clear focus on getting people into jobs;",7
investigative units must be empowered with the necessary expertise and care must be taken to ensure that the prosecution of offenders is not unsuccessful due to the incorrect handling of evidence.,6
establish a specific mrsa fund which will incentivise hospitals to achieve excellence in hygiene standards.,5
•choice is the key.,4
"connect workers to good union jobs ,",7
"protecting nature and the countryside, tackling biodiversity loss",5
believing that the investigation and prosecution of serious cross-border crimes remains one of the most serious challenges facing the european union.,6
we will also use community radio programmes to broaden knowledge and create awareness of the environment.,5
"we deplore the savage inequalities among public schools across the land, and believe every child deserves an equal chance to a world class education.",5
"as a result of the jobs crisis, the esri forecast an additional 100,000 emigrants in the next two years – a higher rate of emigration than occurred even during the depths of the recession in the 1980s.",7
"to help reduce sugar intake, reduce obesity and combat associated health problems such as diabetes, plaid cymru supports a tax on sugary drinks",4
promoting the development of northern pipelines,4
• ensure that all children have the right of access to their nearest neighbourhood school.,5
access to specialist allied health support – like speech and occupational therapists,5
liberal democrats believe that in the diversity of the uk should be represented in public and working life.,5
the alliance will set up an economic development fund to finance local and regional projects,4
better wages,7
"bad processes,",3
those who argue that we must go backwards if we are to maintain or achieve sustainability are wrong.,4
and peace through strength.,1
"with all our fellow citizens, we have watched, in anger and disgust, the mocking of our immigration laws by a president who made himself superior to the will of the nation.",3
administrative tribunals and ombudsman structures make it faster and cheaper to get rights enforced and aim for negotiated settlements.,2
this must be replaced by sound criteria measurements.,7
this will help women to make a greater contribution to our economy and society.,7
we will introduce a similar act in all provinces governed by the da.,6
"combined with the efficiencies that the nhs forward view sets out, this will provide the funding necessary to implement this plan in full.",5
"in government, labor will conduct a top-to-bottom review of the system to ensure it is working as effectively and efficiently as possible.",7
"for significant periods of recent history, there has been a consistent attempt to reduce the display of british symbols.",6
"we will support the development of skills with youth guarantee, modern apprenticeships and encouraging study of science and technology subjects.",4
recognising the valuable contribution they make to informing and entertaining listeners.,5
"key to our continued success in attracting foreign direct investment and especially as we move towards changing stem (science, technology, engineering, maths) into steam in the “smart” economy and an expanding technology sector.",5
an ageing society.,5
"in our first months, we announced an increase in the national living wage to two thirds of average earnings, currently forecast at £10.50 an hour,",4
"we will provide 50,000 apprenticeship and traineeship opportunities over the next five years.",5
"encouraging parents to be fully engaged in this issue,",6
"7. the eff government will amend the facilities regulations act and related regulations to enable the implementation of gender-neutral toilet facilities in schools, public facilities and workplaces to benefit transgender populations and people outside of the gender binary.",5
māori have a partnership role in determining the population policy.,6
special courts to deal with gender-based violence (gbv).,6
"a european debt conference was held in london in 1952 to restructure germany's debts, including the writing off of significant amount.",1
meet our promises to devolve further powers to scotland and wales,3
ban animal testing for cosmetics within australia and the importation or sale of new products tested on animals overseas.,5
"ensure that all infants in canada have access to hearing testing, in cooperation with the provinces and territories.",5
"ban mineral extraction, road building and military training from all national parks.",5
"obesity,",5
the nation’s ports have become a bottleneck in international trade.,4
fiscal austerity to pay for massive bank bail-outs has not restored confidence and employment in the irish economy.,3
"working with the provinces, the green party government will ensure a national effort to revise building codes to include, amongst other energy conservation and efficiency measures:",4
"- reduced acc levies by $630 million in 2012/2013 and a further $387 million in 2014/2015,",5
"committed to provide state housing for those in need,",5
"this visa category will run for a maximum of 3 years, though visas may be extended for another year or converted to permanent residence after 2 years if all eligibility requirements are met.",6
the green party will require new offshore wells to have enough insurance to cover a modelled worst- case scenario spill.,5
"introduce stronger penalties for animal cruelty offences, increasing the maximum sentencing from six months to five years,",5
"we now have more than 30% more carbon dioxide by concentration in our atmosphere than at any time in the last 650,000 years (by direct measurement of air bubbles in antarctic ice cores), and more than twenty million years (if we work from proxy measurements.)",5
"she has expanded the role of nurses to provide faster patient services through nurse prescribing, for example.",5
this will detail target outputs for the estimates and the following years’ statement will set out achievements against target.,0
the esa should ensure that the listing of endangered species and the designation of critical habitats are based upon sound science,4
"in the 2013/14 and 2014/15 financial years, the western cape department of education has set aside an additional r65 million to allow another 200 schools (accommodating around 170 000 learners) to become no-fee schools.",5
future agriculture policy is best delivered through devolution reflecting the needs of each constituent part of the united kingdom.,3
the protection of human rights must be at the heart of any ethical foreign policy.,2
creating a vibrant science-based economy post-brexit.,4
"− more than $300 billion of investments, excluding private homes.",4
"ministers would continue to require approval by the dáil, attend, answer questions and participate in debates but would not have votes.",2
the importance of tackling poverty and inequality goes beyond ensuring that life is affordable: it is the poorest and most vulnerable people and areas of the country that are most impacted by crime.,5
"new zealand first will:enhance the new zealand tourism board's destination marketing strategies, focusing in particular on adventure tourism, eco-tourism and cultural tourism.",4
"modern, productive infrastructure is vitally important for a growing economy.",4
made it an offence for an adult not to take reasonable steps to protect a child or vulnerable adult knowing they are at risk.,6
"and, most of all, give your children the kind of education that allows them to dream even bigger and go even further than you ever imagined.",5
"a national da government will offer direct incentives for job creation through the following programmes: the comprehensive roll-out of a real, strong youth wage subsidy programme to encourage the appointment of young work seekers.",7
"we will invest in technology and forces that meet the threats of the future—from cyber to space, and artificial intelligence to unmanned systems—",1
"to improve the ecology and water quality of the harbour, the raglan community started the whaingaroa harbour care (whc) project in 1995.",5
the accountability that stephen harper promised has instead given way to scandals and corruption.,3
we’ve also substantially boosted funding for public transport.,4
"but government can also help by making consumer markets work more fairly, and in doing so reducing the cost of the essentials that families have no choice but to buy.",4
"introduced a new national environmental standard for air quality, which set pragmatic timeframes for improving air quality throughout new zealand.",5
 require prisoners to undergo full toxicology testing on admission to prison to establish the level of drug use,6
"this will be part of a new light rail network that will be built over the next decade with routes to the central suburbs, the airport, and west auckland, and will later be extended to the north shore",4
this means students that live in tasmania’s regions will get access to resources often limited to people living in the big cities.,5
act's tertiary education policy is driven by goals to achieve an internationally competitive workforce with world class qualifications;,5
"• ensure that new zealand’s trade development board maintains and expands our present markets whilst developing emerging markets,",4
"establish an appropriately-funded, all-ireland social economy development agency",4
•personal retirement accounts must be the cornerstone of strengthening and enhancing social security.,5
ireland’s standing within the european union and in the wider world has been compromised by the disastrous mishandling of our economy by fianna fáil.,1
and ensure that supporters’ trusts have a proper role so that the professional game is properly run for all its fans and all its clubs.,4
will improve the quality of the public health sector as the backbone for a future unified national health system.,5
"• would investigate incentives for greater co-operation between local authorities, in an effort to remove costly duplication of functions.",3
we want to enable people to build secure lives and livelihoods.,5
"with a proper mining tax, the greens would boost school funding sooner than labor",5
government’s changes to streamline and simplify the rma are working.,4
the basic rate of social welfare payment has been increased by 123.7%.,0
"work with businesses and communities to enable learning outside school hours through digital hubs in libraries and community facilities, and support for affordable internet access for households with dependent children.",5
"the university of auckland, counties-manukau dhb, and ngati porou hauora are using telecare equipment at home on a daily basis with patients who have long-term conditions.",5
an awareness of personal indigenous history and culture is an essential element in becoming a full participant in the australian community,7
"introduced new court support services for victims of sexual violence, including information on how to access relevant services.",5
democrats additionally support strengthening nasa and the national oceanic and atmospheric administration’s earth observation missions to better understand how climate change is impacting our home planet.,4
the labour party will put fairness and equality back at the heart of government decisionmaking.,5
"ensuring properly funded post-assault counselling at various serviced sites including police stations, extended-hour clinics and hospitals.",5
" massively ramped up spending, leaving behind a large budget deficit, and a over-sized public sector",3
the dirty energy industry is in freefall and we need to prepare now for the inevitable transition.,5
we will tear down the barriers that have held too many people back.,5
we will also ensure that walking and cycling is integrated with bus and rail services.,4
we are opposed to incinerators as a solution to the waste problem because they pose serious health risks.,4
"we salute the republican governors and state legislators who have, in the face of abuse and threats of violence, reformed their state pension systems for the benefit of both taxpayers and retirees alike.",5
we will support the phased reduction of all trade-distorting barriers and the rapid elimination of all agriculture export subsidies.,4
"legal and financial barriers to securing safe, accessible and affordable abortion remain around the country.",5
rcmp and canadian security intelligence service (csis) reports have warned of organized international criminal organizations and terrorist groups operating in canada.,3
"in doing so, we will address the government’s failure to take any effective new measures againsta growing problem of extreme or violent radicalisation.",6
increasingly it will displace energy intensive steel and cement products in the construction industry.,4
"turned australia’s economy around, reformed the tax system and made australia’s economy more productive and prosperous;",3
to meet our 2008-2012 kyoto target of annual greenhouse gas emissions of 63 mt co2e per annum (or +13 per cent relative to 1990) by 2012.,4
"we will give lower rates of vrt to cars which are most efficient,",4
to tackle religious discrimination and support faith and belief communities in working together we will: continue support for the interfaith network to promote strong and sustainable relations between different faith communities.,6
and human rights.,2
"together, we supported the changes to help create 135,000 extra jobs since 2012.",6
restore the budget surplus within three years and start paying labor’s debt,4
"currently new zealand spends approximately $1 billion a year on defence, net of gst and a capital charge.",1
we support efforts to help lowincome individuals get a fair chance based on their potential and individual merit;,5
"we will press for the devolution of the power to tackle this issue here in scotland,",3
charities: fine gael recognises the need for a thriving and well-regulated charity sector.,4
irish democracy is not in good shape.,2
"the liberals took a cut to automotive industry support of $500 million to the last election, having been warned by industry, unions and labor that this would force holden and other manufacturers to close.",4
the project is on infrastructure australia’s priority list.,4
"more immediately, labour will introduce a legal right to a career break, subject to reasonable conditions, which would allow parents to take time out of the workplace without risking future benefits or job security.",6
"have a limit on tax-deductible donations to registered charities, initially to be set at $20,000",6
"this means that around 40 per cent of schools have to find up to an extra $5,000 to fill the shortfall from elsewhere in their budget while, even more seriously, another 32 per cent have to take out $5,000-$10,000 from their operations budget or other sources. 17",5
labor will review the program following implementation to ensure it is appropriately calibrated and attracts smart angel investors that can take startup businesses through future stages of development.,4
we propose new partnerships between those who manage federal programs and those who are on the front lines of fighting poverty on the ground.,6
"the national treatment purchase fund (ntpf) and the purchasing arm of the hse will come together to provide a new non-profit insurer, which will automatically enrol people with a medical card and the uninsured.",4
"grant duncan, assoc professor, massey. “when we look at our history i think we’ll find that pretty much most of the signature progressive changes that we’ve made have been made by labour governments. (newspaper heading: ‘top marks for political courage’).",3
"through our modern industrial strategy and digital strategy, we will help digital companies at every stage of their growth.",4
"while caring can be rewarding, carers can also suffer physically, psychologically and financially from their duties.",7
we want to get to work straight away on unemployment.,7
require all tertiary institutions to develop key performance indicators to ensure that training provided aligns with industry demand,5
"for young people and their parents, the post-school or post college phase is fraught with difficulty, financial and otherwise.",7
"this regulatory impulse must be curbed,",4
plaid cymru's answer: plaid cymru will roll out a nationwide scheme to make our housing stock more energy efficient.,4
"michael mcdowell raised the issue of stamp duty at a meeting of the progressive democrats on september 18th, 2006.",3
we believe in our nation’s future.,6
"liberation has established the possibility to restore the dignity of traditional leaders, to give meaning to the principle that they are leaders because of the people.",6
an increase in value of exports by 85% to €19bn,7
act understands that crime is a complex issue.,4
re-naming of the first minister and deputy first minister as “joint first ministers”.,2
sector ministers will lead at least 28 high-level trade missions to asia over the next three years.,4
impose fines on companies that fail on online abuse,4
$43.2 million over four years to avoid re-traumatisation of victims and survivors from being cross-examined by alleged perpetrators personally – and instead providing for both parties to be legally represented.,6
"then as now, government investment was too low.",5
a healthcare system underpinned by medicare.,5
we will ensure the region makes the most of its outstanding water resources now and in the future.,4
together we can do more to deal with these challenges and bring about faster change.,2
and make companies legally accountable for failing to prevent human rights abuses,2
"has offered no incentives for investment,",4
continue to extend the benefits and features of the supergold card.,7
(including a dedicated co-operative development unit) to develop the sector strategically.,4
"the financial burdens and emotional challenges of ensuring adequate care for elderly family members affect every american, especially with today's aging population.",7
we can maintain a strong defense and protect our safety and security for less.,1
we engaged with the british government directly.,2
stimulate local and regional prosperity,4
we will strengthen the commonwealth’s focus on promoting democratic values and development.,2
"liberal leader justin trudeau says that manufacturing's time is passed, that it's time for canada to “transition away” from manufacturing.",3
other parties would now freeze out the private sector.,3
"• much lower interest rates: on the wholesale market both short and long term interest rates have more than halved since the government took office, and are now at record lows; while base lending rates now stand at around 9.5 per cent compared to 16.3 per cent at the last election.",3
"under labour the maximum rates rebate will go up from $200 to $500 and the income eligibility threshold will be increased from $7,400 to $20,000.",5
create parity of funding between kōhanga reo and ece providers,5
the green party in government will establish an expert panel to lead this process along with implementing a number of other overdue reforms to our electricity sector to kick-start the market uptake of renewables and smart grid technology.,4
labor put a political promise of a surplus above the wellbeing of single parents.,7
a detailed and workable emergency plan will be drawn up with open public participation in the strategy process.,3
• to restore full employment.,4
the water framework directive led to serious flooding in many parts of the country by preventing river dredging.,5
"the non-profit sector is a key partner in delivering major social policy reforms and in creating opportunities for australians to participate in work, engage in life-long learning and live with dignity and respect.",6
"it is clear that there is no rational case for taking scotland, or the uk, out of the single market.",1
for all new zealanders.,5
and support a broad range of choices for parents and children at the state and local level.,5
"in australia, the two biggest retailers (coles and woolworths) have announced that they’re banning plastic bags from their stores.",5
"* require local government to progressively shed its commercial activities, thereby eliminating the need to separate the regulatory and commercial functions between local and regional councils.",4
stopping violence against women and girls is a priority for labour.,6
"a canadian chaired the board of the international atomic energy agency last year, during intense discussions on how to curb iran’s nuclear ambitions;",1
"yet poorly selected, badly trained and inadequately managed members of the sandf are in no position to protect our borders or values, and the poor state of the sandf’s equipment makes their burden even greater.",1
"for example, the midland health network has developed three leading edge ifhcs.",5
"in the 21st century, there are far fewer stable, secure jobs than in the past.",7
these sweeping bills have no place in our democracy.,2
- a capital gains tax on all businesses and farms.,4
link population growth to the provision of better infrastructure,4
we must restructure the twentieth century entitlement state,5
f) shifts government-supported research away from biotechnology and energy- intensive farming and towards organic food production;,7
"encourage vegetable gardens by, for example, subsidising training programmes and start-up packs.",7
to be effective the scottish parliament must have the ability to take the key decisions that matter to the people of this country.,3
"this will help us to recruit doctors and scientists, as well as ensuring that our patients get access to the latest and most innovative treatments.",4
"in reality, the private sector can and should be brought onboard to help government and organised labour implement a partnership",4
democratic,2
"we are concerned that the transatlantic trade and investment partnership (tiip) will have significant negative implications for ireland, particularly in the areas of agriculture, state sovereignty, democratic decision making, public procurement, workers' rights, environmental and food safety regulations, and many other areas.",1
the da will show decisive leadership in properly implementing these ideals and objectives.,3
"we will: enhance uk cooperation with civil society and international agencies to implement relevant un security council resolutions, including unsc resolutions 1325, 1820 and 1889, dealing with the role of gender violence in war",1
"at critical moments in our country’s history, we have demonstrated that we can mobilise and unite south africans around the common challenges facing the country.",6
"to help achieve this, the green party will reallocate $15 million within the crown's existing $1. 8 billion contribution to the christchurch rebuild for research, planning and community engagement by local councils and science agencies to promote and implement climate change adaptation.",4
"this approach must codify specific metrics which will signify successful redress (these could include measurables in terms of broader ownership, improved education and skills outcomes, improved entrepreneurial support etc.).",3
"in addition, many senior police officials have been involved in corruption‚ fraud and money laundering.",3
labour will enhance the quality and effectiveness of utilities regulation in ireland.,4
"instead of wasting money locking people up on short sentences that don’t work, we will spend it on the things that actually prevent crime.",6
and we take comfort in the tremendous increase in adoptions that has followed republican legislative initiatives.,6
"it’s time that the traditional leaders as custodians of our culture collectively needs inclusion to development activities, they carry a developmental responsibility to materially change their communities.",3
land expropriation to the extent that is necessary to achieve land reform will take place provided that all such expropriation will fully pass constitutional muster and in keeping with the above the following expropriation with minimal or no compensation will be supported -,5
helping coastal communities with a national shipbuilding policy to enable canadian shipbuilders to compete against their subsidized international counterparts.,4
protect small schools from adverse teacher pupil ratios affecting their viability.,5
"rather than defend democracy and human rights, he’s fawned over autocrats, sent love letters to despots, sided with dictators over peaceful protestors, and invited foreign interference in our elections.",2
to give canadian families more money to raise their children.,5
power has been deliberately concentrated at the apex of the executive arm of government – in the office of deputy president thabo mbeki.,3
"we will bring forward legislation to make the devolution settlement more sustainable as set out by the welsh labour government in its alternative wales bill, including the devolution of policing.",3
and the wellington programme is for pacific islanders.,7
"yet, what political party is addressing the threat?",3
address continuing inequalities in pensions law for those in same-sex relationships.,5
green party mps will: re-establish a federal minimum wage of $10 an hour under the canada labour code.,4
this document presents some of these solutions that you have shared with us.,2
• encourage maori to use their land to develop an economic base.,7
"but innovation must not be hamstrung by washington bickering, regulatory briar patches, or obstructionist law suits.",4
"that’s why we will hold employers accountable, promote workers’ rights, and prioritize the enforcement of labor and employment laws across the economy, including discrimination and sexual harassment protections, wage and hour laws, and health and safety rules.",7
"investing more than $31 million to accelerate maori secondary school student achievement, under the new building on success programme, which extends the progress made through current maori achievement programmes such as te kotahutanga, he kakano and starpath.",5
we have a unique opportunity to encourage iwi investment in our local communities and regional economies.,4
and that good local nhs services do not have to be put out to tender.,4
"we urge congress to strengthen the born alive infant protection act by enacting appropriate civil and criminal penalties on healthcare providers who fail to provide treatment and care to an infant who survives an abortion, including early induction delivery where the death of the infant is intended.",6
"-we will increase the momentum programme by 20% or 1,200 places on a voluntary basis for people in receipt of disability allowance.",5
we’ll get the job done.,3
continue to tackle institutional racism in the police force and the wider criminal justice system.,5
"a single omnibus bill in spring 2012 (c-38) changed 70 laws, which even former conservative ministers said undermined our fisheries and environment.",3
jack layton and the new democrats will: commit to the goal of a fully literate canada by spearheading a comprehensive literacy strategy.,5
"thereafter endeavoring to keep it below 40% of gdp over the long term so that interest payments do not curtail infrastructure spend,.",4
these will be met by a combination of land transport fund funding and crown grants.,4
the american citizens of the u.s. territories should have the right to vote for president of the united states.,2
establish specific targets within labour market agreements negotiated with the provinces and territories to assist those with disabilities.,5
"we oppose the non-consensual withholding or withdrawal of care or treatment, including food and water, from individuals with disabilities, newborns, the elderly, or the infirm, just as we oppose euthanasia and assisted suicide.",6
the replacement of trident is expected to cost at least £205 billion.,1
this work will be funded from within baseline spending.,4
“the american dream” is not a stale slogan.,6
we will continue and expand the remote aerodrome safety program to assist in the upgrade of airstrips in remote and isolated communities.,4
• reformed workplace arrangements: the employment contracts act has boosted productivity in the workplace by bringing greater flexibility and much closer cooperation between management and their workforces.,4
"create a cabinet committee on ageing and older persons, to meet at least four times a year, its role to include age-proofing legislation;",7
"by seriously weakening work incentives, softening fraud recovery, and increasing benefit payments, the requirement to move from welfare to work has been dangerously undermined.",5
"a specified annual sum of money ($3400 a year for primary students, $5200 ‘ a year for secondary students in current dollars) will be available to parents to pay for the education of children of primary school and secondary school age attending a school registered by a government-approved certifying agency.",5
"to this end, we will introduce a new code of ethics for local government to build on the legislative frameworks that have been developed across the public service.",3
$8 million for ovarian cancer research.,5
"however, every country faces a unique set of emissions challenges and opportunities.",4
